data_split,vnf_profile,vCPU_cores,VNF_memory_MB,Link_Capacity_limit_Mbps,offered_load_pps,offered_load_mbps,VNF_cpu_utilization_pct,VNF_memory_utilization_pct,passive_processed_packets_per_sec,passive_alerts_per_sec,passive_daq_drops_per_sec,MQTT_package_latency_p99_ms,MQTT_package_loss_pct,MQTT_devices_connected
train,passive,4,512,70,13363.9937,69.9982,30.3944,32.8201,18028.5362,302.3333,0.8395,0.0508,0.3993,50.0
train,passive,1,256,40,10110.6922,40.0472,86.0895,66.0841,12568.9466,302.3333,1327.4019,0.0028,0.8,50.0
train,passive,4,256,90,15553.3283,89.9505,32.751,67.0087,14291.3371,285.605,0.0,0.0123,0.1333,50.0
train,passive,3,512,65,12828.2046,65.01,42.8301,34.0328,13768.4814,273.347,0.0,0.4722,0.4659,50.0
train,passive,2,256,80,14479.0134,79.9358,65.4571,64.8361,14660.4058,302.3333,12.7085,2.2436,0.266,50.0
train,passive,4,512,80,14452.671,79.9901,30.4658,32.4458,18804.0288,297.1157,10.515,0.0386,0.2662,50.0
train,passive,3,384,45,10656.1175,45.0165,40.967,50.3369,10243.4328,285.6703,0.0,15.8799,0.7291,50.0
train,passive,3,256,30,9030.1155,29.9955,37.9871,67.9514,9281.8328,302.3333,0.0,39.4838,0.9233,50.0
train,passive,3,640,80,14463.0201,79.9868,46.27,33.3699,18237.3829,298.0875,0.3865,0.2772,0.2661,50.0
train,passive,2,768,35,9557.4536,35.0195,56.4068,30.0074,10474.7602,297.1692,12.2885,0.6195,0.8641,50.0
train,passive,4,768,100,16638.2567,99.9805,33.3477,31.3862,21747.3326,302.3333,0.0,0.0141,0.0,50.0
train,passive,3,640,70,13371.9997,69.9858,44.2712,33.0735,16232.3954,285.5645,0.0,0.4088,0.3992,50.0
train,passive,1,640,100,16624.6349,99.9968,85.7388,31.8197,20336.126,302.3333,409.8353,0.0136,0.0,50.0
train,passive,1,384,80,14472.9899,80.0904,87.231,48.1868,15922.8041,302.3333,1460.8071,0.0101,0.2667,50.0
train,passive,2,640,55,11742.1857,54.9919,58.305,30.1745,13578.7222,302.3333,12.9705,0.647,0.5973,50.0
train,passive,4,256,30,9117.3841,30.0208,32.3862,67.7974,9958.9402,302.3333,26.1496,0.0009,0.9333,50.0
train,passive,3,1024,50,11193.8088,49.961,44.0519,29.1789,16996.0624,302.3333,0.0,0.6818,0.6645,50.0
train,passive,1,640,90,15550.3056,90.0133,84.5516,31.6594,17945.9859,291.6254,419.6032,0.0117,0.1333,50.0
train,passive,1,640,25,8520.1586,24.9627,78.6096,29.6858,12363.2379,302.3333,585.7595,0.0,1.0,50.0
train,passive,4,512,40,10099.4646,39.9886,27.9389,32.8037,12415.2734,289.9915,0.0,0.0875,0.7986,50.0
train,passive,1,896,40,10121.1238,39.9528,76.6369,28.6727,12342.2081,302.3333,526.5277,0.0028,0.8,50.0
train,passive,2,1024,45,10623.9111,44.965,56.9461,29.5926,10543.677,302.3333,67.5341,0.0038,0.7333,50.0
train,passive,1,896,90,15550.9025,90.0307,84.4552,29.4259,16169.2052,299.1913,611.2037,0.012,0.1333,50.0
train,passive,1,1024,45,10658.0165,44.9581,75.7961,27.9324,11870.0049,299.735,531.5557,0.0037,0.7333,50.0
train,passive,3,896,70,13364.5038,69.9412,46.6461,31.2144,17166.9296,302.2627,30.7786,0.4128,0.3988,50.0
train,passive,1,384,95,16097.402,95.1067,87.7699,48.1052,18429.1775,302.3333,1632.2138,0.0129,0.0667,50.0
train,passive,1,384,60,12303.054,60.0759,85.2884,48.9604,12367.6288,276.6745,1195.4883,0.0064,0.5333,50.0
train,passive,2,384,55,11782.7677,54.9816,58.9872,47.8566,11254.856,284.3108,0.0,2.9458,0.5975,50.0
train,passive,2,640,95,16105.8173,94.9516,62.4111,30.1906,18700.156,302.3333,25.5685,0.0845,0.0664,50.0
